name,teams,position,start_year,stop_year,total_game,games_started
Herb Adderley,GNB|DAL,KR/LCB,1961,1972,164,145
Bralon Addison,CHI,,2016,2016,2,0
Mario Addison,2TM|3TM|CAR,DE,2011,2018,98,23
Tom Addison,BOS,LLB,1960,1967,106,32
Nick Adduci,WAS,LDH,1954,1955,22,22
Quincy Adeboyejo,BAL,,2017,2017,1,0
Victor Adeyanju,STL,de,2006,2009,53,26
Xavier Adibi,HOU|MIN|TEN,lb/mlb,2008,2012,44,8
John Adickes,CHI|MIN,,1987,1989,23,0
Mark Adickes,KAN|WAS,g,1986,1991,77,49
Jude Adjei-Barimah ,TAM,lb,2015,2016,23,8
Bob Adkins,GNB,bb,1940,1945,20,5
Kevin Adkins,KAN,,1987,1987,2,0
Margene Adkins,DAL|NOR|NYJ,KR,1970,1973,35,9
Roy Adkins,CHI,,1920,1920,4,0
Sam Adkins,SEA,,1977,1981,11,0
Spencer Adkins,ATL,lb,2009,2011,24,1
James Adkisson,OAK,,2006,2006,2,0
Daniel Adongo,IND,,2013,2015,5,0
Al Afalava,CHI|IND|TEN,ss,2009,2012,29,15
Erik Affholter,GNB,,1991,1991,4,0
Dick Afflis ,GNB,LT,1951,1954,48,34
Ben Agajanian,2TM|LAD|NYG|RAM|LAC|OAK|SDG,k,1945,1964,129,6
Alex Agase,2TM|CLE|BAL,RLB,1947,1953,70,45
Louis Age,CHI,,1992,1992,6,0
Mel Agee,IND|ATL,de,1991,1995,54,15
Sam Agee,CRD,fb,1938,1939,21,5
Tommie Agee,SEA|KAN|DAL,FB,1988,1994,100,11
Nelson Agholor,PHI,WR,2015,2018,48,40
Bob Agler,RAM,,1948,1949,16,0
Jamal Agnew,DET,,2017,2018,17,0
Ray Agnew,NWE|NYG|STL,de/dt/LDT,1990,2000,157,98
Ray Agnew,CLE,FB,2014,2014,12,9
Vince Agnew,DAL,,2012,2012,4,0
Roberto Aguayo,TAM,K,2016,2016,16,0
Louie Aguiar,NYJ|KAN|GNB|CHI,P,1991,2000,152,0
Joe Aguirre,WAS|LAD,le,1941,1949,83,49
C.J. Ah You,STL,rdt,2009,2011,33,3
Chidi Ahanotu,TAM|STL|BUF|SFO|2TM,de,1993,2004,174,140
Dan Ahern,WAS,RT,1921,1921,3,2
Dave Ahrens,STL|IND|DET|MIA|SEA,lilb,1981,1990,130,47
Tony Aiello,2TM,,1944,1944,5,0
Danny Aiken,NWE|NYG,,2011,2015,66,0
Kamar Aiken,BUF|NWE|BAL|IND|PHI,wr,2011,2018,69,28
Sam Aiken,BUF|NWE|CLE,wr,2003,2010,95,11
Carl Aikens,RAI,wr,1987,1987,3,3
Walt Aikens,MIA,db/s,2014,2018,66,5
Troy Aikman,DAL,qb,1989,2000,165,165
Jim Ailinger,BUF,,1924,1924,8,0
Charles Aiu,SDG|2TM,g,1976,1978,33,1
Victor Aiyewa,GNB,,2013,2013,5,0
Jay Ajayi,MIA|2TM|PHI,RB,2015,2018,41,22
Seyi Ajirotutu,SDG|CAR|PHI,wr,2010,2015,70,2
Hakim Akbar,NWE|STL,,2001,2002,10,0
David Akers,WAS|PHI|SFO|DET,K,1998,2013,237,0
Harold Akin,SDG,,1967,1968,13,0
Len Akin,CHI,g,1942,1942,11,1
Al Akins,CLE|BDA|2TM,hb,1946,1948,25,4
Chris Akins,DAL|2TM|CLE|NWE,,1999,2003,61,0
Frank Akins,WAS,fb,1943,1946,28,5
Jordan Akins,HOU,,2018,2018,4,0
Mike Akiu,HOU,wr,1985,1986,20,1
Anthony Alabi,MIA,,2006,2007,16,0
Ikaika Alama-Francis ,DET|MIA,de,2007,2011,35,2
Dick Alban ,WAS|PIT,RS,1952,1959,96,94
Dom Albanese,COL,,1925,1925,3,1
Vannie Albanese,BKN,fb,1937,1938,18,5
Tom Alberghini,PIT,,1945,1945,1,0
Branden Albert ,KAN|MIA,LT,2008,2016,120,118
Frankie Albert ,SFO,QB,1946,1952,90,68
Sergio Albert ,STL,k,1974,1974,12,0
Trev Alberts ,IND,lb,1994,1996,29,7
Art Albrecht,PIT|CRD|BOS,t,1942,1944,14,1
Ted Albrecht,CHI,LT,1977,1981,77,75
Alex Albright,DAL,lb,2011,2012,30,2
Bill Albright,NYG,MG,1951,1954,47,37
Bryson Albright,BUF|ARI,,2016,2017,8,0
Ethan Albright,MIA|BUF|WAS|SDG,,1995,2010,236,0
Ira Albright,BUF,,1987,1987,3,0
Vince Albritton,DAL,ss,1984,1991,86,27
Zac Alcorn,GNB,,2006,2006,6,0
Grady Alderman,DET|MIN,LT,1960,1974,204,178
John Alderton,PIT,,1953,1953,10,10
Ki Aldrich,CRD|WAS,C,1939,1947,73,53
Allen Aldridge ,HOU|CLE,,1971,1974,35,5
Allen Aldridge ,DEN|DET,lb/LOLB,1994,2001,128,104
Bennie Aldridge ,NYY|2TM|GNB,RDH,1950,1953,43,23
Jerry Aldridge ,SFO,,1980,1980,1,0
Kevin Aldridge ,TEN,,2002,2002,6,0
Lionel Aldridge ,GNB|SDG,RDE,1963,1973,147,139
Melvin Aldridge ,HOU|ARI,,1993,1995,3,0
Arnold Ale,KAN|SDG,,1994,1996,9,0
Ink Aleaga,NOR,lb,1997,1999,26,6
Chas Alecxih,MIA|SDG,,2012,2014,0,0
Keith Alex,ATL,,1993,1993,14,0
