name,teams,position,start_year,stop_year,total_game,games_started
Harland Carl,CHI,,1956,1956,9,0
Cooper Carlisle,DEN|OAK,LG,2000,2012,190,133
Cody Carlson,HOU,qb,1988,1994,45,19
Daniel Carlson,MIN,K,2018,2018,2,0
Dean Carlson,KAN,,1974,1974,1,0
Hal Carlson,CRD,,1937,1937,1,0
Irv Carlson,KEN,wb,1924,1924,2,2
Jeff Carlson,TAM|NWE,qb,1990,1992,7,3
John Carlson,SEA|MIN|ARI,rb/TE,2008,2014,90,64
Mark Carlson,WAS,t,1987,1987,3,3
Oke Carlson,DUL,LG,1924,1926,18,12
Roy Carlson,CHI|DAY,LE,1928,1929,16,7
Wes Carlson,GNB,g,1926,1926,4,2
Zuck Carlson,CHI,lg,1929,1936,95,67
Darryl Carlton,MIA|TAM,t,1975,1979,71,36
Wray Carlton,BUF,FB,1960,1967,87,14
Charlie Carman,DET,LG,1920,1921,7,3
Ed Carman,HAM|2TM,RE,1922,1925,12,8
Jon Carman,BUF,rt,2000,2001,12,2
Al Carmichael ,GNB|DEN,KR/PR,1953,1961,84,50
Harold Carmichael ,PHI|DAL,WR,1971,1984,182,160
Paul Carmichael ,DEN,,1965,1965,3,0
Roc Carmichael ,HOU|PHI,lcb,2012,2014,19,2
Ray Carnelly,BKN,hb,1939,1939,9,3
Art Carney,NYG,re,1925,1926,17,15
Chuck Carney,COL,t,1922,1922,3,1
John Carney,TAM|2TM|SDG|NOR|NYG,k,1988,2010,302,0
Brett Carolan,SFO|MIA,te,1994,1996,24,2
Reggie Carolan,SDG|KAN,,1962,1968,80,1
J.C. Caroline,CHI,LCB,1956,1965,118,84
Joe Carollo,RAM|PHI|CLE,RT,1962,1973,150,118
Roger Caron,IND,t,1985,1986,10,1
Don Carothers,DEN,,1960,1960,3,2
Joe Carpe,FRN|POT|BOS|PHI,t,1926,1933,27,16
Bobby Carpenter,DAL|2TM|DET|NWE,lb,2006,2012,93,10
Brian Carpenter,NYG|WAS|2TM,,1982,1984,35,10
Dan Carpenter,MIA|BUF,K,2008,2016,140,0
Dwaine Carpenter,SFO|2TM|STL,lcb/rcb,2003,2006,42,8
Jack Carpenter,BUF|2TM,rt,1947,1949,36,14
James Carpenter,SEA|NYJ,LG,2011,2018,97,91
Keion Carpenter ,BUF|ATL,SS,1999,2005,83,61
Ken Carpenter,CLE|DEN,LH,1950,1960,49,37
Lew Carpenter,DET|CLE|GNB,FB,1953,1963,123,35
Preston Carpenter,CLE|PIT|WAS|2TM|MIA,PR/TE,1956,1967,149,126
Rob Carpenter,HOU|2TM|NYG|RAM,FB,1977,1986,118,65
Rob Carpenter,NWE|NYJ|PHI,wr,1991,1995,60,5
Ron Carpenter,SDG,LLB,1964,1965,18,0
Ron Carpenter,CIN,RDT,1970,1976,97,86
Ron Carpenter,2TM|NYJ|STL,db,1993,1999,45,4
Rudy Carpenter,TAM,,2011,2011,1,0
Steve Carpenter,NYJ|STL,,1980,1981,4,0
Austin Carr,NOR,wr,2017,2018,5,1
Brandon Carr,KAN|DAL|BAL,LCB/rcb,2008,2018,164,164
Carl Carr,DET,lb,1987,1987,3,3
Charley Carr,HAM,,1926,1926,2,0
Chetti Carr,RAI,,1987,1987,2,0
Chris Carr,OAK|TEN|BAL|SDG|NOR,db,2005,2013,125,27
David Carr,HOU|CAR|NYG|SFO,qb,2002,2012,94,79
Derek Carr,OAK,QB,2014,2018,66,66
Deveron Carr,TAM,,2013,2013,9,0
Earl Carr,SFO|PHI,,1978,1979,15,0
Eddie Carr,SFO,db,1947,1949,30,3
Fred Carr,GNB,RLB,1968,1977,140,112
Gregg Carr,PIT,rolb,1985,1988,57,7
Harlan Carr,2TM,,1927,1927,10,9
Henry Carr,NYG,RCB,1965,1967,37,36
Jimmy Carr,CRD|PHI|WAS,LS,1955,1965,108,83
Levert Carr,SDG|BUF|HOU,RT,1969,1973,55,36
Lydell Carr,PHO,,1989,1989,5,0
Paul Carr,SFO,RDH,1955,1957,30,17
Reggie Carr,NYG,de,1987,1987,3,3
Roger Carr,BAL|SEA|SDG,WR,1974,1983,115,92
Tom Carr,NOR,,1968,1968,4,3
Tank Carradine,SFO|OAK,de/dl,2014,2018,45,8
Josh Carraway,TEN,,2017,2017,1,0
Alphonso Carreker ,GNB|DEN,de,1984,1991,94,80
Vince Carreker ,CLE,,1987,1987,2,0
Duane Carrell,DAL|RAM|NYJ|2TM,P,1974,1977,47,0
John Carrell,HOU,,1966,1966,6,0
Ryan Carrethers,SDG,nt,2014,2016,24,3
T.J. Carrie ,OAK|CLE,cb/RCB,2014,2018,64,36
Derek Carrier,PHI|SFO|WAS|LAR|OAK,te/wr,2012,2018,54,17
Mark Carrier,TAM|CLE|CAR,wr,1987,1998,177,138
Mark Carrier,CHI|DET|WAS,FS/s/ss,1990,2000,168,164
Adam Carriker,STL|WAS,de,2007,2012,65,58
Alex Carrington,BUF|STL,de,2010,2015,59,10
Darren Carrington,DEN|DET|SDG|JAX|OAK,FS,1989,1996,112,46
Ed Carrington,HOU,,1968,1969,15,0
Paul Carrington,ATL,de,2006,2006,15,2
Russ Carroccio,NYG|2TM,,1954,1955,21,3
Ahmad Carroll,GNB|2TM|NYJ,cb/LCB,2004,2009,57,28
Bart Carroll,RCH,LT,1920,1920,2,1
Bird Carroll,CAN,RE,1921,1925,34,29
Gene Carroll,COL,e,1922,1922,4,2
Herman Carroll,NOR,,1994,1994,4,0
Jay Carroll,TAM|MIN,te,1984,1985,32,2
Jim Carroll,NYG|2TM|WAS|NYJ,LLB,1965,1969,61,35
Joe Carroll,OAK,,1972,1973,22,0
Leo Carroll,GNB|WAS,LDE,1968,1970,27,19
Nolan Carroll,MIA|PHI|DAL,CB/rcb,2010,2017,103,56
Ronnie Carroll,HOU,,1974,1974,14,6
Travis Carroll,NOR|2TM,,2002,2003,11,0
Victor Carroll,BOS|WAS|NYG,t,1936,1947,102,29
Wesley Carroll,NOR|CIN,wr,1991,1993,40,5
Leonte Carroo,MIA,wr,2016,2017,28,2
Paul Ott Carruth,GNB|KAN,rb,1986,1989,45,22
Rae Carruth,CAR,wr,1997,1999,22,20
Carlos Carson,KAN|2TM,WR,1980,1989,126,92
Chris Carson,SEA,RB,2017,2018,7,6
Glenn Carson,ARI,,2014,2014,5,0
Harry Carson,NYG,RILB,1976,1988,173,167
Howard Carson,RAM,lb,1981,1983,28,2
John Carson,WAS|HOU,TE,1954,1960,71,59
Kern Carson,2TM,,1965,1965,13,0
Leonardo Carson,SDG|2TM|DAL,LDT,2000,2004,64,35
Malcolm Carson,MIN,,1984,1984,1,0
Tra Carson,CIN,,2018,2018,2,0
Jordan Carstens,CAR,RDT,2004,2006,29,16
Dwayne Carswell,DEN,TE,1994,2005,163,82
Robert Carswell,SDG,,2001,2002,18,0
Alex Carter,CLE,de,1987,1987,3,1
Alex Carter,DET,,2016,2016,1,0
Allen Carter,NWE,KR,1975,1976,15,0
Andre Carter,SFO|WAS|NWE|OAK,DE,2001,2013,184,147
Anthony Carter,MIN|DET,wr,1985,1995,140,126
Bernard Carter,JAX,,1995,1995,5,0
Blanchard Carter,TAM,,1977,1977,13,0
Brandon Carter,TAM|DAL,,2010,2011,11,0
Bruce Carter,DAL|TAM|NYJ|ATL,mlb,2011,2018,91,36
Carl Carter,STL|PHO|CIN|TAM|GNB,db,1986,1992,90,69
Cethan Carter,CIN,,2017,2017,16,0
Chris Carter,NWE|CIN|HOU,fs,1997,2002,92,29
Chris Carter,PIT|2TM|WAS,rolb,2011,2017,75,4
Cris Carter,PHI|MIN|MIA,wr,1987,2002,234,209
Dale Carter,KAN|DEN|MIN|NOR|BAL,lcb/ss,1992,2005,157,127
Daryl Carter,CHI,,1997,1997,1,0
David Carter,HOU|2TM|NOR,C,1977,1985,121,44
David Carter,ARI|DAL,de/dt/nt,2011,2013,35,4
DeAndre Carter,PHI,wr,2018,2018,3,1
Delone Carter,IND|JAX,rb,2011,2013,27,3
Dexter Carter,SFO|2TM,KR/PR,1990,1996,100,20
Drew Carter,CAR,wr,2005,2007,33,9
Dyshod Carter,CLE|2TM|ARI,,2001,2005,19,0
Gerald Carter,NYJ|TAM,WR,1980,1987,103,61
Jamal Carter,DEN,,2017,2017,16,0
Jason Carter,MIN,,2006,2006,1,0
Jermaine Carter Jr.,CAR,,2018,2018,3,0
Jerome Carter,STL,ss,2005,2007,33,3
Jim Carter,GNB,MLB,1970,1978,106,90
Jimmie Carter,STL,,1987,1987,1,0
Joe Carter,PHI|GNB|BKN|CRD,e,1933,1945,109,90
Joe Carter,MIA,rb,1984,1986,30,2
Jon Carter,DAL,,1989,1989,13,0
Jonathan Carter,NYG|NYJ,wr,2001,2004,25,1
Kent Carter,NWE,,1974,1974,2,0
Kerry Carter,SEA,,2003,2004,32,0
Kevin Carter,STL|TEN|MIA|TAM,DE,1995,2008,224,219
Ki-Jana Carter,CIN|WAS|NOR,rb,1996,2004,59,14
Kyle Carter,MIN,,2017,2017,3,0
Lorenzo Carter,NYG,lb,2018,2018,4,0
Louis Carter,OAK|TAM,rb,1975,1978,52,14
M.L. Carter,KAN,db,1979,1981,33,9
Marty Carter,TAM|CHI|ATL|2TM,SS,1991,2001,161,151
Michael Carter,SFO,NT,1984,1992,121,97
Mike Carter,GNB|SDG,,1970,1972,7,1
Pat Carter,DET|RAM|HOU|STL|ARI,TE,1988,1997,154,94
Perry Carter,KAN|OAK,rcb,1995,1998,28,7
Quincy Carter,DAL|NYJ,qb,2001,2004,38,34
Quinton Carter,DEN,FS/ss,2011,2014,30,10
Rodney Carter,PIT,rb,1987,1989,40,3
Ross Carter,CRD,RG,1936,1939,42,30
Rubin Carter,DEN,nt,1975,1986,166,152
Russell Carter,NYJ|RAI,SS,1984,1989,64,47
Steve Carter,TAM,wr,1987,1987,3,1
Tim Carter,NOR,,2001,2001,2,0
Tim Carter,NYG|CLE|STL,WR,2002,2009,71,11
Todd Carter,CAR,k,2010,2010,1,0
Tom Carter,WAS|CHI|2TM|CIN,cb/LCB,1993,2001,118,98
Tony Carter,CHI|NWE|DEN|GNB,fb,1994,2002,133,65
Tony Carter,DEN|NWE|IND,lcb,2009,2015,45,3
Tyrone Carter,MIN|NYJ|PIT|SDG,fs/SS,2000,2010,158,53
Virgil Carter,CHI|CIN|SDG,qb,1968,1976,52,30
Walter Carter,TAM,de,1987,1987,2,1
Willie Carter,CRD,,1953,1953,8,3
Jason Carthen,NWE,,1993,1994,6,0
Milt Carthens,IND,,1987,1987,1,0
Maurice Carthon,NYG|IND,fb,1985,1992,123,77
Ran Carthon,IND,,2005,2006,9,0
Charlie Carton,FRN,le,1925,1925,13,8
Rock Cartwright,WAS|OAK,rb,2002,2011,154,5
Johndale Carty,ATL,lb,1999,2002,61,3
Dale Carver,CLE,,1983,1983,16,0
Mel Carver,TAM|IND,rb,1982,1987,33,11
Shante Carver,DAL,RDE,1994,1997,52,26
Larry Carwell,HOU|BOS|NWE,LCB,1967,1972,74,58
Ken Casanega,SFO,qb,1946,1948,15,5
Tommy Casanova,CIN,SS,1972,1977,71,65
Rick Casares,CHI|WAS|MIA,FB,1955,1966,130,96
Chad Cascadden,NYJ,rlb,1995,1999,60,12
Ernie Case,BCL,qb,1947,1947,14,10
Frank Case,KAN,,1981,1981,7,0
Pete Case,PHI|NYG,LG,1962,1970,117,93
Scott Case,ATL|DAL,db,1984,1995,178,124
Stoney Case,ARI|BAL|DET,qb,1995,2000,20,6
Alvro Casey,AKR,RT,1926,1926,4,4
Bernie Casey,SFO|RAM,FL,1961,1968,105,92
Chance Casey,OAK|2TM,,2013,2014,4,1
Eddie Casey,BUF,,1920,1920,1,0
James Casey,HOU|PHI|DEN,FB/te,2009,2015,95,23
Jurrell Casey,TEN,de/DT,2011,2018,114,112
Pete Casey,STL,WB,1923,1923,7,7
Tim Casey,2TM,,1969,1969,5,0
Tom Casey,NYY,,1948,1948,11,0
Antoine Cash,ATL|TAM,,2005,2006,19,0
Chris Cash,DET|ATL,lcb/rcb,2002,2005,30,17
Jeremy Cash,CAR,,2016,2017,9,0
John Cash,DEN,RDE,1961,1962,28,12
Keith Cash,PIT|KAN,te,1991,1996,64,34
Kerry Cash,IND|OAK|CHI,te,1991,1996,71,60
Rick Cash,ATL|RAM|NWE,RDE,1968,1973,64,35
Jonathan Casillas,NOR|TAM|2TM|NYG,LB,2009,2017,102,48
Tony Casillas,ATL|DAL|NYJ,LDT,1986,1997,166,135
Ken Casner,RAM,RDT,1952,1952,11,9
Antoine Cason,SDG|ARI|2TM,RCB,2008,2014,110,60
Aveion Cason,2TM|DET|DAL|STL,fb/rb,2001,2008,56,5
Jim Cason,SFO|RAM,LDH,1948,1956,92,70
Wendell Cason,ATL,db,1985,1987,33,22
Cy Casper,2TM|PIT,b,1934,1935,13,5
Dave Casper,OAK|2TM|HOU|RAI,TE,1974,1984,147,101
Craig Cassady,NOR,db,1977,1977,12,3
Howard Cassady,DET|2TM,PR,1956,1963,84,46
Frank Cassara,SFO,,1954,1954,6,0
Matt Cassel,NWE|KAN|MIN|2TM|TEN|DET,qb,2005,2018,107,81
Tom Cassese,DEN,LS,1967,1967,14,5
Dick Cassiano,BKN,b,1940,1940,10,1
 Cassidy,TON,,1921,1921,1,0
Ron Cassidy,GNB,PR,1979,1984,60,1
Walt Cassidy,KEN,LE,1924,1924,5,5
Mike Casteel,RII,b,1922,1922,6,2
Rich Caster,NYJ|HOU|2TM|WAS,te,1970,1982,161,121
Jesse Castete,2TM|RAM,,1956,1957,22,10
Jim Castiglia,PHI|2TM|WAS,fb,1941,1948,42,12
Jeremiah Castille,TAM|DEN,RCB,1983,1988,87,60
Simeon Castille,CIN|SDG,,2008,2009,9,0
Tim Castille,ARI|KAN,fb,2008,2010,31,4
Luis Castillo,SDG,de,2005,2011,82,79
Eric Castle,SDG,db,1993,1996,53,1
Toby Caston,HOU|DET,lb,1987,1993,90,4
Anthony Castonzo,IND,LT,2011,2017,105,105
Chris Castor,SEA,,1983,1984,23,0
Tony Catalano,HAM,,1920,1920,1,0
Tyler Catalina,WAS,rg,2017,2017,7,2
Alcides Catanho,NWE|WAS,,1995,1996,27,0
Mark Catano,PIT|BUF,nt,1984,1986,32,6
Chandler Catanzaro,ARI|NYJ|TAM,K,2014,2018,68,0
Mike Catapano,KAN|NYJ,lb,2013,2016,29,4
Toney Catchings,CIN,,1987,1987,3,0
Greg Cater,BUF|STL,P,1980,1987,77,0
Mike Caterbone,MIA,wr,1987,1987,3,1
Thomas Caterbone,PHI,,1987,1987,2,0
Royal Cathcart,SFO,,1950,1950,2,0
Sam Cathcart,SFO,LH,1949,1952,36,14
Tom Catlin,CLE|PHI,LLB,1953,1959,51,27
Daryl Cato,MIA,c,1946,1946,12,3
Sean Cattouse,SDG|CHI,,2012,2013,2,0
Jehuu Caulcrick,BUF,,2010,2010,2,0
Mike Caussin,BUF,te,2011,2012,6,2
Carmen Cavalli,OAK,LDE,1960,1960,14,14
Matt Cavanaugh,NWE|SFO|PHI|NYG,qb,1979,1991,112,19
Braxston Cave,CLE,,2014,2014,0,0
Ronnie Caveness,KAN|HOU,,1965,1968,46,0
Jim Caver,DET,,1983,1983,2,0
Quinton Caver,PHI|2TM|KAN|DAL,rolb,2001,2005,53,4
Ben Cavil,BAL,lg,1997,1998,31,14
Kwame Cavil,BUF,,2000,2000,16,0
Grady Cavness,DEN|ATL,LCB,1969,1970,18,14
John Cavosie,PRT,LE,1931,1933,33,18
Lowell Caylor,CLE,,1964,1964,13,1
Les Caywood,BUF|3TM|DET|NYG|2TM|CIN,LG,1926,1934,89,69
Lloyd Cearing,HAM,WB,1922,1923,13,11
Curtis Ceaser,NYJ,,1995,1995,4,0
Chuck Cecil,GNB|PHO|HOU,FS,1988,1995,95,62
Jimmy Cefalo,MIA,wr,1978,1984,90,24
Brent Celek,PHI,TE,2007,2017,175,132
Garrett Celek,SFO,fb/TE,2012,2018,75,29
Bob Celeri,NYY|DTX,QB,1951,1952,19,12
Oliver Celestin,NYJ|SEA|ARI|2TM,ss,2004,2008,58,4
Mario Celotto,BUF|OAK|2TM,,1978,1981,25,0
Tony Cemore,PHI,g,1941,1941,10,1
John Cenci,PIT,,1956,1956,7,3
Larry Centers,PHO|ARI|WAS|BUF|NWE,fb,1990,2003,198,108
Frank Cephous,NYG,,1984,1984,16,0
Gene Ceppetelli,PHI|2TM,C,1968,1969,27,10
Matt Cercone,MIN,,2000,2002,5,0
Gordy Ceresino,SFO,,1979,1979,16,3
Joe Cerne,SFO|ATL,,1965,1968,45,0
Marq Cerqua,TAM|CHI,,2001,2002,5,0
Jacques Cesaire,SDG,de,2003,2011,125,66
William Cesare,TAM|MIA|DET,,1978,1982,46,0
Sal Cesario,DAL,t,1987,1987,3,3
Jeff Chadwick,DET|2TM|SEA|RAM,wr,1983,1992,126,46
Pat Chaffey,ATL|NYJ,rb,1991,1993,31,2
Mike Chalenski,PHI|NYJ|MIA|DET,rde,1993,1998,55,7
George Chalmers,BKN,,1933,1933,7,0
Byron Chamberlain,DEN|MIN|WAS,te,1995,2003,106,25
Chris Chamberlain,STL|NOR,LB,2008,2012,59,19
Dan Chamberlain,BUF,SE,1960,1961,15,6
Garth Chamberlain,PIT,,1945,1945,3,0
Frank Chamberlin,TEN|CIN|HOU,mlb,2000,2005,57,3
Guy Chamberlin,CHI|CAN|CLE|FRN|CRD,le,1920,1927,92,68
Bill Chambers,NYY,g,1948,1949,25,2
Chris Chambers,MIA|2TM|SDG|KAN,wr,2001,2010,153,127
Kirk Chambers,CLE|BUF|ATL,RT,2004,2011,70,14
Rusty Chambers,NOR|2TM|MIA,LILB,1975,1980,88,46
Wally Chambers,CHI|TAM,LDE,1973,1979,88,74
Al Chamblee ,TAM,lb,1991,1992,22,3
Corey Chamblin,JAX,,1999,1999,11,0
Ed Champagne ,RAM,RT,1947,1950,39,7
Jim Champion,NYY,MG,1950,1951,19,13
Brelon Chancellor,SDG,,2014,2014,0,0
Kam Chancellor,SEA,s/SS,2010,2017,109,93
Robert Chancey,SDG|CHI|DAL,rb,1997,2000,29,4
Al Chandler,CIN|NWE|2TM,te,1973,1979,85,16
Bob Chandler,BUF|OAK|RAI,wr,1971,1982,145,105
Chris Chandler,IND|TAM|2TM|PHO|RAM|HOU|ATL|CHI|STL,qb,1988,2004,180,152
Don Chandler,NYG|GNB,K/P,1956,1967,154,0
Edgar Chandler,BUF|NWE,MLB,1968,1973,68,46
Jeff Chandler,SFO|2TM,k,2002,2004,13,0
Karl Chandler,NYG|DET,C,1974,1979,66,30
Nate Chandler,CAR,RT,2012,2014,37,19
Scott Chandler,SDG|2TM|BUF|NWE,te,2007,2015,90,39
Sean Chandler,NYG,fs,2018,2018,4,0
Thornton Chandler,DAL,TE,1986,1989,49,14
Wes Chandler,NOR|2TM|SDG|SFO,wr,1978,1988,150,131
Lynn Chandnois,PIT,RH,1950,1956,73,45
Jamar Chaney,PHI|ATL|OAK,lb/MLB,2010,2014,54,23
Roger Chanoine ,CLE,rt,1999,2002,33,18
Tom Chantiles,DET,,1942,1942,2,0
Shaun Chapas,DAL|DET,fb,2011,2012,6,1
Clarence Chapman,NOR|CIN|DET,LCB,1976,1985,65,53
Doug Chapman,MIN,rb,2001,2003,26,3
Gil Chapman,NOR,KR/PR,1975,1975,9,0
Josh Chapman,IND,NT,2012,2014,29,15
Kory Chapman,IND,,2005,2005,3,0
Lamar Chapman,CLE,,2000,2001,8,0
Mike Chapman,ATL,,1984,1984,4,0
Ted Chapman,RAI,de,1987,1987,2,1
Leo Chappell,CRD,RG,1920,1921,9,6
Dave Chapple,BUF|RAM|2TM,P,1971,1974,40,0
Jack Chapple,SFO,rlb,1965,1965,14,6
Bob Chappuis,BDA|CHH,TB,1948,1949,19,6
Dick Chapura ,CHI|2TM,dt,1987,1990,43,3
DJ Chark,JAX,,2018,2018,4,0
Jamaal Charles,KAN|DEN,rb,2008,2017,117,69
John Charles,BOS|MIN|HOU,FS,1967,1974,79,62
Mike Charles,MIA|SDG|RAI|RAM,nt,1983,1991,101,58
Orson Charles,CIN|NOR|DET|KAN|CLE,te,2012,2018,40,6
Stefan Charles,BUF|DET,dt,2013,2016,49,2
Win Charles,DAY,TB,1928,1928,5,4
Jeff Charleston,IND|NOR,de,2007,2011,65,4
Clifford Charlton,CLE,lb,1988,1989,31,1
Ike Charlton,SEA|JAX|NYG,lcb,2000,2003,53,3
Taco Charlton ,DAL,DE/dt,2017,2018,20,4
Carl Charon,BUF,RS,1962,1963,26,0
Len Charpier,CRD,fb,1920,1920,1,1
Ben Chase,DET,,1947,1947,11,0
Martin Chase,BAL|NOR|WAS|JAX,ldt,1999,2005,55,6
Ralph Chase,2TM,,1926,1926,5,3
Matt Chatham,NWE|NYJ,lb,2000,2007,91,4
Antonio Chatman,GNB|CIN,wr,2003,2008,74,7
Cliff Chatman,NYG,rb,1982,1982,6,3
Jesse Chatman,SDG|MIA|NYJ,rb,2002,2008,58,6
Ricky Chatman,IND,,1987,1987,3,0
Laz Chavez,MIA,,1987,1987,3,0
Eddie Chavis,MIA,wr,1987,1987,3,1
Barney Chavous,DEN,LDE,1973,1985,183,178
Corey Chavous,ARI|MIN|STL,fs/SS,1998,2008,171,131
Justin Cheadle,PIT,,2012,2012,0,0
Ernie Cheatham,2TM,,1954,1954,6,0
Lloyd Cheatham,CRD|NYY,BB,1942,1948,50,29
Coonie Checkaye,MUN,BB,1920,1921,3,2
Louis Cheek,MIA|2TM|GNB,LT,1988,1991,45,11
Richard Cheek,BUF,LG,1970,1970,14,13
Stephen Cheek,KAN,P,2004,2004,12,0
B.W. Cheeks,HOU,,1965,1965,2,0
Michael Cheever,JAX,c,1996,1997,17,6
Chimdi Chekwa,OAK|MIA,cb/lcb,2011,2016,35,4
Donald Chelf,BUF,RT,1960,1961,28,13
Red Chenoweth,LOU,WB,1921,1921,1,1
Gosder Cherilus,DET|IND|TAM,rt/te,2008,2016,132,116
Harold Cherne,BOS,,1933,1933,4,0
George Cheroke,CLE,,1946,1946,14,0
Bill Cherry,GNB,c,1986,1987,28,1
Deron Cherry,KAN,FS,1981,1991,148,124
Ed Cherry,CRD|2TM,,1938,1939,8,1
Je'Rod Cherry,NOR|PHI|NWE,,1996,2004,127,0
Mike Cherry,NYG,,1997,1998,2,0
Raphel Cherry,WAS|DET,db,1985,1988,42,19
Stan Cherry,BAL,,1973,1973,3,0
Tony Cherry,SFO,rb,1986,1987,6,1
Chuck Cherundolo,RAM|PHI|PIT,C,1937,1948,106,81
Red Chesbro,RAM,g,1938,1938,8,2
Al Chesley,PHI|2TM,LILB,1979,1982,56,18
Frank Chesley,GNB,,1978,1978,1,0
John Chesley,MIA,,1984,1984,1,0
Chet Chesney,CHI,c,1939,1940,10,1
George Chesser,MIA,,1966,1967,18,0
Jehu Chesson,KAN|WAS,wr,2017,2018,13,1
Wes Chesson,ATL|2TM|PHI,WR,1971,1974,43,29
Chris Chester,BAL|WAS|ATL,RG/te,2006,2016,169,143
Larry Chester,IND|CAR|MIA,rdt,1998,2004,90,48
Raymond Chester,OAK|BAL,te,1970,1981,172,131
Joe Chetti,BUF,,1987,1987,2,0
George Cheverko,NYG|2TM,b,1947,1948,19,7
Randy Chevrier,2TM,,2001,2001,13,0
Jim Cheyunski ,BOS|NWE|BUF|BAL,MLB,1968,1976,121,103
Darrin Chiaverini ,CLE|DAL|ATL,wr,1999,2002,49,10
John Chick,JAX,,2011,2012,19,0
Fred Chicken,RII,TB,1920,1920,6,5
John Chickerneo,NYG,b,1942,1942,4,4
Anthony Chickillo ,PIT,rilb/rolb,2015,2018,42,9
Nick Chickillo,CRD,MG,1953,1953,12,9
Tony Chickillo,SDG|NYJ,nt,1984,1987,7,2
Jamie Childers,BUF,,2014,2014,0,0
Bam Childress,NWE,,2005,2006,3,0
Freddie Childress,NWE|CLE,g,1991,1992,31,5
Joe Childress,CRD|STL,HB,1956,1965,96,49
O.J. Childress,NYG,,1999,1999,4,0
Ray Childress,HOU|DAL,ldt,1985,1996,163,160
Clarence Childs,NYG|CHI,KR/RCB,1964,1968,59,23
Greg Childs,MIN,,2012,2012,0,0
Henry Childs ,2TM|NOR|RAM|GNB,te,1974,1984,103,72
Jimmy Childs,STL,,1978,1979,21,2
Ron Childs,NOR,,1995,1995,9,0
Brandon Chillar,STL|GNB,lb/rolb,2004,2010,97,53
Gene Chilton,STL|KAN|NWE,C,1986,1992,79,42
Bill Chipley,BOS|NYY,LE,1947,1949,30,12
John Chirico,NYJ,rb,1987,1987,3,1
Andy Chisick,CRD,c,1940,1941,22,6
Ed Chlebek,NYJ,,1963,1963,2,0
Mark Chmura ,GNB,te,1993,1999,89,62
Bob Choate,KAN,,1924,1924,1,0
Putt Choate,GNB,lb,1987,1987,2,2
Max Choboian,DEN,qb,1966,1966,14,7
Tashard Choice,DAL|3TM|BUF|2TM,rb,2008,2013,88,4
John Choma,SFO,,1981,1983,27,0
Steve Chomyszak,NYJ|CIN,RDT,1966,1973,79,52
Jason Chorak,IND,,1998,1998,8,0
Dick Chorovich,BAL|LAC,RDT,1955,1960,28,20
Joseph Chrape,MIN,RG,1929,1929,9,8
Wayne Chrebet,NYJ,fl,1995,2005,152,104
Erik Christensen,WAS,,1956,1956,2,0
Frank Christensen,DET,rt,1934,1937,42,32
George Christensen,PRT|DET,t,1931,1938,95,74
Jeff Christensen,CIN|CLE,qb,1983,1987,4,2
Koester Christensen,PRT,,1930,1930,1,0
Todd Christensen,2TM|OAK|RAI,te,1979,1988,137,90
Brad Christenson,OAK,,2002,2002,1,0
Bob Christian,CHI|CAR|ATL,FB/rb,1992,2002,135,82
Gerald Christian,BUF,,2016,2016,3,0
Marqui Christian,LAR,,2016,2018,27,0
Bob Christiansen,BUF,,1972,1972,4,0
Jack Christiansen,DET,RS,1951,1958,89,88
Marty Christiansen,CRD,fb,1940,1940,6,1
Oscar Christianson,MIN,RE,1921,1924,20,13
Steve Christie,TAM|BUF|SDG|NYG,K,1990,2004,229,0
Floyd Christman ,BUF,FB,1925,1925,9,8
Paul Christman ,CRD|GNB,qb,1945,1950,61,23
Herb Christopher,KAN,db,1979,1982,50,24
Jim Christopherson,MIN,K,1962,1962,14,5
Ryan Christopherson,JAX|2TM,,1995,1996,19,0
Dick Christy,PIT|BOS|NYT|NYJ,HB/KR/PR,1958,1963,64,12
Earl Christy,NYJ,KR,1966,1968,30,0
Greg Christy,BUF,,1985,1985,7,0
Jeff Christy,MIN|TAM,C,1993,2002,148,139
Pete Chryplewicz,DET,te,1997,1999,37,3
Bradley Chubb,DEN,cb/LB,2018,2018,4,4
Nick Chubb,CLE,,2018,2018,4,0
Patrick Chukwurah,MIN|DEN|TAM,de/lb,2001,2007,78,5
Eugene Chung,NWE|JAX|IND,LG,1992,1997,55,30
Patrick Chung,NWE|PHI,S/ss,2009,2018,128,99
Barry Church,DAL|JAX,fs/s/SS,2010,2018,110,83
Ricky Churchman,SFO,SS,1980,1981,19,15
Don Churchwell,WAS|OAK,,1959,1960,11,3
Don Chuy,RAM|PHI,g,1963,1969,82,36
Joe Cibulas,PIT,,1945,1945,5,0
Mike Ciccolella,NYG,MLB,1966,1968,35,10
Ben Ciccone,PIT|CRD,C,1934,1942,25,6
Chick Cichowski,PIT|WAS,,1957,1959,14,3
Tom Cichowski,DEN,RT,1967,1968,13,9
Jack Cichy,TAM,,2018,2018,4,0
Brad Cieslak,BUF|CLE,fb/te,2005,2008,12,2
Gus Cifelli,DET|GNB|2TM,RT,1950,1954,60,44
Bob Cifers,DET|PIT|GNB,hb,1946,1949,42,14
Ed Cifers,WAS|CHI,RE,1941,1948,56,35
Ralph Cindrich,NWE|HOU|2TM,lb,1972,1975,36,7
Larry Cipa,NOR,qb,1974,1975,8,3
Steve Cisowski,DAL,t,1987,1987,3,3
